symbol,coupon_rate,sector,industry,company_name,month_3_aver_vol
ABR-PB,7.75,Finance,Real Estate Investment Trusts,"Arbor Realty Trust, Inc.",6503
AI-PC,8.25,Finance,Real Estate Investment Trusts,Arlington Asset Investment Corp.,12105
AI-PB,7.0,Finance,Real Estate Investment Trusts,Arlington Asset Investment Corp.,2182
AIC,6.75,Finance,Real Estate Investment Trusts,Arlington Asset Investment Corp.,7545
AIW,6.625,Finance,Real Estate Investment Trusts,Arlington Asset Investment Corp.,4757
AHH-PA,6.75,Finance,Real Estate Investment Trusts,"Armada Hoffler Properties, Inc.",4356
AHT-PD,8.45,Finance,Real Estate Investment Trusts,"Ashford Hospitality Trust, Inc.",11426
AHT-PH,7.5,Finance,Real Estate Investment Trusts,"Ashford Hospitality Trust, Inc.",19453
AHT-PI,7.5,Finance,Real Estate Investment Trusts,"Ashford Hospitality Trust, Inc.",24066
AHT-PF,7.375,Finance,Real Estate Investment Trusts,"Ashford Hospitality Trust, Inc.",26751
AHT-PG,7.375,Finance,Real Estate Investment Trusts,"Ashford Hospitality Trust, Inc.",39314
BRG-PA,8.25,Finance,Real Estate Investment Trusts,"Bluerock Residential Growth REIT, Inc.",14718
BRG-PC,7.625,Finance,Real Estate Investment Trusts,"Bluerock Residential Growth REIT, Inc.",6012
BRG-PD,7.125,Finance,Real Estate Investment Trusts,"Bluerock Residential Growth REIT, Inc.",9967
BXP-PB,5.25,Finance,Real Estate Investment Trusts,"Boston Properties, Inc.",13673
BHR-PD,8.25,Finance,Real Estate Investment Trusts,"Braemar Hotels & Resorts, Inc.",6720
BHR-PB,5.5,Finance,Real Estate Investment Trusts,"Braemar Hotels & Resorts, Inc.",17085
DTLA-P,7.625,Finance,Real Estate Investment Trusts,"Brookfield DTLA Fund Office Trust Investor, Inc.",10457
BPYUP,6.375,Finance,Real Estate Investment Trusts,"Brookfield Property REIT, Inc.",43571
CBL-PD,7.375,Finance,Real Estate Investment Trusts,"CBL & Associates Properties, Inc.",200824
CBL-PE,6.625,Finance,Real Estate Investment Trusts,"CBL & Associates Properties, Inc.",63899
CMO-PE,7.5,Finance,Real Estate Investment Trusts,Capstead Mortgage Corp.,57049
CDR-PB,7.25,Finance,Real Estate Investment Trusts,"Cedar Realty Trust, Inc.",6883
CDR-PC,6.5,Finance,Real Estate Investment Trusts,"Cedar Realty Trust, Inc.",17462
CHMI-PB,8.25,Finance,Real Estate Investment Trusts,Cherry Hill Mortgage Investment Corp.,13242
CHMI-PA,8.2,Finance,Real Estate Investment Trusts,Cherry Hill Mortgage Investment Corp.,18200
CIM-PA,8.0,Finance,Real Estate Investment Trusts,Chimera Investment Corp.,33501
CIM-PB,8.0,Finance,Real Estate Investment Trusts,Chimera Investment Corp.,70844
CIM-PD,8.0,Finance,Real Estate Investment Trusts,Chimera Investment Corp.,57562
CIM-PC,7.75,Finance,Real Estate Investment Trusts,Chimera Investment Corp.,62822
CIO-PA,6.625,Finance,Real Estate Investment Trusts,"City Office REIT, Inc.",8130
CLNY-PG,7.5,Finance,Real Estate Investment Trusts,"Colony Capital, Inc.",16554
CLNY-PI,7.15,Finance,Real Estate Investment Trusts,"Colony Capital, Inc.",60997
CLNY-PH,7.125,Finance,Real Estate Investment Trusts,"Colony Capital, Inc.",60452
CLNY-PJ,7.125,Finance,Real Estate Investment Trusts,"Colony Capital, Inc.",59402
DLR-PC,6.625,Finance,Real Estate Investment Trusts,"Digital Realty Trust, Inc.",21061
DLR-PI,6.35,Finance,Real Estate Investment Trusts,"Digital Realty Trust, Inc.",27312
DLR-PG,5.875,Finance,Real Estate Investment Trusts,"Digital Realty Trust, Inc.",25762
DLR-PK,5.85,Finance,Real Estate Investment Trusts,"Digital Realty Trust, Inc.",27394
DLR-PJ,5.25,Finance,Real Estate Investment Trusts,"Digital Realty Trust, Inc.",22436
DLR-PL,5.2,Finance,Real Estate Investment Trusts,"Digital Realty Trust, Inc.",65116
DHCNL,6.25,Finance,Real Estate Investment Trusts,Diversified Healthcare Trust,28043
DHCNI,5.625,Finance,Real Estate Investment Trusts,Diversified Healthcare Trust,34735
DX-PB,7.625,Finance,Real Estate Investment Trusts,"Dynex Capital, Inc.",30949
DX-PC,6.9,Finance,Real Estate Investment Trusts,"Dynex Capital, Inc.",102950
EPR-PG,5.75,Finance,Real Estate Investment Trusts,EPR Properties,22460
EQC-PD,6.5,Finance,Real Estate Investment Trusts,Equity Commonwealth,11269
XAN-PC,8.625,Finance,Real Estate Investment Trusts,Exantas Capital Corp.,34121
FPI-PB,6.0,Finance,Real Estate Investment Trusts,"Farmland Partners, Inc.",15695
FRT-PC,5.0,Finance,Real Estate Investment Trusts,Federal Realty Investment Trust,16249
GOODM,7.0,Finance,Real Estate Investment Trusts,Gladstone Commercial Corp.,13711
GOODN,6.625,Finance,Real Estate Investment Trusts,Gladstone Commercial Corp.,8889
LANDP,6.375,Finance,Real Estate Investment Trusts,Gladstone Land Corp.,5232
GMRE-PA,7.5,Finance,Real Estate Investment Trusts,"Global Medical REIT, Inc.",8585
GNL-PA,7.25,Finance,Real Estate Investment Trusts,"Global Net Lease, Inc.",18314
GNL-PB,6.875,Finance,Real Estate Investment Trusts,"Global Net Lease, Inc.",21846
HT-PC,6.875,Finance,Real Estate Investment Trusts,Hersha Hospitality Trust,14000
HT-PD,6.5,Finance,Real Estate Investment Trusts,Hersha Hospitality Trust,49872
HT-PE,6.5,Finance,Real Estate Investment Trusts,Hersha Hospitality Trust,29611
IIPR-PA,9.0,Finance,Real Estate Investment Trusts,"Innovative Industrial Properties, Inc.",3537
IVR-PB,7.75,Finance,Real Estate Investment Trusts,"Invesco Mortgage Capital, Inc.",38157
IVR-PA,7.75,Finance,Real Estate Investment Trusts,"Invesco Mortgage Capital, Inc.",36857
IVR-PC,7.5,Finance,Real Estate Investment Trusts,"Invesco Mortgage Capital, Inc.",49477
IRET-PC,6.625,Finance,Real Estate Investment Trusts,Investors Real Estate Trust,6285
KIM-PM,5.25,Finance,Real Estate Investment Trusts,Kimco Realty Corp.,49265
KIM-PL,5.125,Finance,Real Estate Investment Trusts,Kimco Realty Corp.,27132
LXP-PC,6.5,Finance,Real Estate Investment Trusts,Lexington Realty Trust,3307
MFO,8.0,Finance,Real Estate Investment Trusts,"MFA Financial, Inc.",51294
MFA-PB,7.5,Finance,Real Estate Investment Trusts,"MFA Financial, Inc.",58620
MFA-PC,6.5,Finance,Real Estate Investment Trusts,"MFA Financial, Inc.",369221
MDRRP,8.0,Finance,Real Estate Investment Trusts,"Medalist Diversified REIT, Inc.",3278
MAA-PI,8.5,Finance,Real Estate Investment Trusts,"Mid-America Apartment Communities, Inc.",1141
MNR-PC,6.125,Finance,Real Estate Investment Trusts,Monmouth Real Estate Investment Corp.,99443
NNN-PF,5.2,Finance,Real Estate Investment Trusts,"National Retail Properties, Inc.",40578
NSA-PA,6.0,Finance,Real Estate Investment Trusts,National Storage Affiliates Trust,22234
NRZ-PA,7.5,Finance,Real Estate Investment Trusts,New Residential Investment Corp.,69098
NRZ-PB,7.125,Finance,Real Estate Investment Trusts,New Residential Investment Corp.,108503
NRZ-PC,6.375,Finance,Real Estate Investment Trusts,New Residential Investment Corp.,353797
NYMTN,8.0,Finance,Real Estate Investment Trusts,"New York Mortgage Trust, Inc.",59040
NYMTM,7.875,Finance,Real Estate Investment Trusts,"New York Mortgage Trust, Inc.",111498
NYMTO,7.875,Finance,Real Estate Investment Trusts,"New York Mortgage Trust, Inc.",26872
NYMTP,7.75,Finance,Real Estate Investment Trusts,"New York Mortgage Trust, Inc.",18968
OPINI,5.875,Finance,Real Estate Investment Trusts,Office Properties Income Trust,24794
PSB-PX,5.25,Finance,Real Estate Investment Trusts,"PS Business Parks, Inc.",24906
PSB-PW,5.2,Finance,Real Estate Investment Trusts,"PS Business Parks, Inc.",18247
PSB-PY,5.2,Finance,Real Estate Investment Trusts,"PS Business Parks, Inc.",28350
PSB-PZ,4.875,Finance,Real Estate Investment Trusts,"PS Business Parks, Inc.",69329
PEB-PC,6.5,Finance,Real Estate Investment Trusts,Pebblebrook Hotel Trust,17843
PEB-PD,6.375,Finance,Real Estate Investment Trusts,Pebblebrook Hotel Trust,19615
PEB-PE,6.375,Finance,Real Estate Investment Trusts,Pebblebrook Hotel Trust,9646
PEB-PF,6.3,Finance,Real Estate Investment Trusts,Pebblebrook Hotel Trust,19115
PEI-PB,7.375,Finance,Real Estate Investment Trusts,Pennsylvania Real Estate Investment Trust,51610
PEI-PC,7.2,Finance,Real Estate Investment Trusts,Pennsylvania Real Estate Investment Trust,107226
PEI-PD,6.875,Finance,Real Estate Investment Trusts,Pennsylvania Real Estate Investment Trust,51531
PMT-PA,8.125,Finance,Real Estate Investment Trusts,PennyMac Mortgage Investment Trust,22868
PMT-PB,8.0,Finance,Real Estate Investment Trusts,PennyMac Mortgage Investment Trust,41222
PLYM-PA,7.5,Finance,Real Estate Investment Trusts,"Plymouth Industrial REIT, Inc.",3590
PW-PA,7.75,Finance,Real Estate Investment Trusts,Power REIT,2539
PSA-PH,5.6,Finance,Real Estate Investment Trusts,Public Storage,41073
PSA-PB,5.4,Finance,Real Estate Investment Trusts,Public Storage,54085
PSA-PV,5.375,Finance,Real Estate Investment Trusts,Public Storage,41177
PSA-PW,5.2,Finance,Real Estate Investment Trusts,Public Storage,38176
PSA-PX,5.2,Finance,Real Estate Investment Trusts,Public Storage,21401
PSA-PF,5.15,Finance,Real Estate Investment Trusts,Public Storage,22999
PSA-PC,5.125,Finance,Real Estate Investment Trusts,Public Storage,19401
PSA-PG,5.05,Finance,Real Estate Investment Trusts,Public Storage,24678
PSA-PD,4.95,Finance,Real Estate Investment Trusts,Public Storage,31373
PSA-PE,4.9,Finance,Real Estate Investment Trusts,Public Storage,35027
PSA-PI,4.875,Finance,Real Estate Investment Trusts,Public Storage,40104
PSA-PK,4.75,Finance,Real Estate Investment Trusts,Public Storage,56419
PSA-PJ,4.7,Finance,Real Estate Investment Trusts,Public Storage,42353
QTS-PA,7.125,Finance,Real Estate Investment Trusts,"QTS Realty Trust, Inc.",14068
QTS-PB,6.5,Finance,Real Estate Investment Trusts,"QTS Realty Trust, Inc.",15674
RLJ-PA,0.0,Finance,Real Estate Investment Trusts,RLJ Lodging Trust,85444
RCA,7.0,Finance,Real Estate Investment Trusts,Ready Capital Corp.,9655
RCB,6.2,Finance,Real Estate Investment Trusts,Ready Capital Corp.,19847
RHE-PA,10.875,Finance,Real Estate Investment Trusts,"Regional Health Properties, Inc.",4129
REXR-PA,5.875,Finance,Real Estate Investment Trusts,"Rexford Industrial Realty, Inc.",7749
REXR-PB,5.875,Finance,Real Estate Investment Trusts,"Rexford Industrial Realty, Inc.",6256
REXR-PC,5.625,Finance,Real Estate Investment Trusts,"Rexford Industrial Realty, Inc.",7972
SITC-PA,6.375,Finance,Real Estate Investment Trusts,SITE Centers Corp.,17070
SITC-PK,6.25,Finance,Real Estate Investment Trusts,SITE Centers Corp.,17979
SLG-PI,6.5,Finance,Real Estate Investment Trusts,SL Green Realty Corp.,22185
STAG-PC,6.875,Finance,Real Estate Investment Trusts,"STAG Industrial, Inc.",7305
SCCB,7.125,Finance,Real Estate Investment Trusts,Sachem Capital Corp.,4396
SACC,6.875,Finance,Real Estate Investment Trusts,Sachem Capital Corp.,9530
BFS-PD,6.125,Finance,Real Estate Investment Trusts,"Saul Centers, Inc.",4892
BFS-PE,6.0,Finance,Real Estate Investment Trusts,"Saul Centers, Inc.",9079
SRG-PA,7.0,Finance,Real Estate Investment Trusts,Seritage Growth Properties,17158
SPG-PJ,8.375,Finance,Real Estate Investment Trusts,"Simon Property Group, Inc.",1515
SOHON,8.25,Finance,Real Estate Investment Trusts,"Sotherly Hotels, Inc.",9576
SOHOB,8.0,Finance,Real Estate Investment Trusts,"Sotherly Hotels, Inc.",7450
SOHOO,7.875,Finance,Real Estate Investment Trusts,"Sotherly Hotels, Inc.",7370
SRC-PA,6.0,Finance,Real Estate Investment Trusts,"Spirit Realty Capital, Inc.",21024
INN-PD,6.45,Finance,Real Estate Investment Trusts,"Summit Hotel Properties, Inc.",6744
INN-PE,6.25,Finance,Real Estate Investment Trusts,"Summit Hotel Properties, Inc.",18147
SHO-PE,6.95,Finance,Real Estate Investment Trusts,"Sunstone Hotel Investors, Inc.",14860
SHO-PF,6.45,Finance,Real Estate Investment Trusts,"Sunstone Hotel Investors, Inc.",14417
TCO-PJ,6.5,Finance,Real Estate Investment Trusts,"Taubman Centers, Inc.",22224
TCO-PK,6.25,Finance,Real Estate Investment Trusts,"Taubman Centers, Inc.",17316
TWO-PA,8.125,Finance,Real Estate Investment Trusts,Two Harbors Investment Corp.,31607
TWO-PD,7.75,Finance,Real Estate Investment Trusts,Two Harbors Investment Corp.,22389
TWO-PB,7.625,Finance,Real Estate Investment Trusts,Two Harbors Investment Corp.,53407
TWO-PE,7.5,Finance,Real Estate Investment Trusts,Two Harbors Investment Corp.,53898
TWO-PC,7.25,Finance,Real Estate Investment Trusts,Two Harbors Investment Corp.,64307
UMH-PB,8.0,Finance,Real Estate Investment Trusts,"UMH Properties, Inc.",13303
UMH-PC,6.75,Finance,Real Estate Investment Trusts,"UMH Properties, Inc.",30727
UMH-PD,6.375,Finance,Real Estate Investment Trusts,"UMH Properties, Inc.",84075
UBP-PH,6.25,Finance,Real Estate Investment Trusts,"Urstadt Biddle Properties, Inc.",3707
UBP-PK,5.875,Finance,Real Estate Investment Trusts,"Urstadt Biddle Properties, Inc.",15927
VER-PF,6.7,Finance,Real Estate Investment Trusts,"VEREIT, Inc.",168317
VNO-PK,5.7,Finance,Real Estate Investment Trusts,Vornado Realty Trust,31084
VNO-PL,5.4,Finance,Real Estate Investment Trusts,Vornado Realty Trust,28459
VNO-PM,5.25,Finance,Real Estate Investment Trusts,Vornado Realty Trust,47410
WPG-PH,7.5,Finance,Real Estate Investment Trusts,"Washington Prime Group, Inc.",41693
WPG-PI,6.875,Finance,Real Estate Investment Trusts,"Washington Prime Group, Inc.",33413
WHLRP,9.0,Finance,Real Estate Investment Trusts,"Wheeler Real Estate Investment Trust, Inc.",3754
WHLRD,8.75,Finance,Real Estate Investment Trusts,"Wheeler Real Estate Investment Trust, Inc.",7448
STAR-PD,8.0,Finance,Real Estate Investment Trusts,"iStar, Inc.",9415
STAR-PG,7.65,Finance,Real Estate Investment Trusts,"iStar, Inc.",12493
STAR-PI,7.5,Finance,Real Estate Investment Trusts,"iStar, Inc.",16299
ASB-PC,6.125,Finance,Regional Banks,Associated Banc-Corp,3650
ASB-PE,5.875,Finance,Regional Banks,Associated Banc-Corp,6400
ASB-PD,5.375,Finance,Regional Banks,Associated Banc-Corp,4952
BOKFL,5.375,Finance,Regional Banks,BOK Financial Corp.,12515
BANC-PD,7.375,Finance,Regional Banks,"Banc of California, Inc.",14728
BANC-PE,7.0,Finance,Regional Banks,"Banc of California, Inc.",13261
BXS-PA,5.5,Finance,Regional Banks,BancorpSouth Bank,39471
CFG-PD,6.35,Finance,Regional Banks,"Citizens Financial Group, Inc. (Rhode Island)",44582
CFG-PE,5.0,Finance,Regional Banks,"Citizens Financial Group, Inc. (Rhode Island)",109840
CBSHP,6.0,Finance,Regional Banks,"Commerce Bancshares, Inc. (Missouri)",10589
CUBI-PC,7.0,Finance,Regional Banks,"Customers Bancorp, Inc.",6095
CUBI-PD,6.5,Finance,Regional Banks,"Customers Bancorp, Inc.",2138
CUBI-PE,6.45,Finance,Regional Banks,"Customers Bancorp, Inc.",6494
CUBI-PF,6.0,Finance,Regional Banks,"Customers Bancorp, Inc.",13037
CUBB,5.375,Finance,Regional Banks,"Customers Bancorp, Inc.",17233
FNB-PE,7.25,Finance,Regional Banks,F.N.B. Corp. (Pennsylvania),7018
FITBI,6.625,Finance,Regional Banks,Fifth Third Bancorp,44376
FITBP,6.0,Finance,Regional Banks,Fifth Third Bancorp,9794
FITBO,4.95,Finance,Regional Banks,Fifth Third Bancorp,56141
FCNCP,5.375,Finance,Regional Banks,"First Citizens BancShares, Inc. (North Carolina)",319369
FHN-PA,6.2,Finance,Regional Banks,First Horizon National Corp. (Tennessee),8124
INBKZ,6.0,Finance,Regional Banks,First Internet Bancorp,6259
INBKL,6.0,Finance,Regional Banks,First Internet Bancorp,1737
FRC-PF,5.7,Finance,Regional Banks,"First Republic Bank (San Francisco, California)",8505
FRC-PG,5.5,Finance,Regional Banks,"First Republic Bank (San Francisco, California)",26821
FRC-PI,5.5,Finance,Regional Banks,"First Republic Bank (San Francisco, California)",28781
FRC-PH,5.125,Finance,Regional Banks,"First Republic Bank (San Francisco, California)",12149
FRC-PJ,4.7,Finance,Regional Banks,"First Republic Bank (San Francisco, California)",162821
HWCPL,5.95,Finance,Regional Banks,Hancock Whitney Corp.,7850
HBANO,6.25,Finance,Regional Banks,"Huntington Bancshares, Inc.",66087
HBANN,5.875,Finance,Regional Banks,"Huntington Bancshares, Inc.",6704
MBNKP,8.0,Finance,Regional Banks,Medallion Bank,9117
MBINP,7.0,Finance,Regional Banks,Merchants Bancorp (Indiana),2867
MBINO,6.0,Finance,Regional Banks,Merchants Bancorp (Indiana),21687
NTRSO,4.7,Finance,Regional Banks,Northern Trust Corp.,86386
SIVBP,5.25,Finance,Regional Banks,SVB Financial Group,95122
STT-PD,5.9,Finance,Regional Banks,State Street Corp.,101608
STT-PG,5.35,Finance,Regional Banks,State Street Corp.,58731
STL-PA,6.5,Finance,Regional Banks,"Sterling Bancorp (Montebello, New York)",11645
SNV-PD,6.3,Finance,Regional Banks,Synovus Financial Corp.,25361
SNV-PE,5.875,Finance,Regional Banks,Synovus Financial Corp.,48150
TCBIP,6.5,Finance,Regional Banks,"Texas Capital Bancshares, Inc.",12506
TCBIL,6.5,Finance,Regional Banks,"Texas Capital Bancshares, Inc.",5790
TSCAP,6.75,Finance,Regional Banks,"TriState Capital Holdings, Inc.",2701
TSCBP,6.375,Finance,Regional Banks,"TriState Capital Holdings, Inc.",7628
TFC-PH,5.625,Finance,Regional Banks,Truist Financial Corp.,55263
TFC-PG,5.2,Finance,Regional Banks,Truist Financial Corp.,46154
TFC-PF,5.2,Finance,Regional Banks,Truist Financial Corp.,38367
TFC-PI,0.0,Finance,Regional Banks,Truist Financial Corp.,22923
VLYPP,6.25,Finance,Regional Banks,Valley National Bancorp,7667
VLYPO,5.5,Finance,Regional Banks,Valley National Bancorp,7046
WALA,6.25,Finance,Regional Banks,Western Alliance Bancorporation,12504
WTFCM,6.5,Finance,Regional Banks,Wintrust Financial Corp.,9515
AXO,6.25,Finance,Savings Banks,"Axos Financial, Inc.",2673
DCOMP,5.5,Finance,Savings Banks,"Dime Community Bancshares, Inc.",60379
IBKCP,6.625,Finance,Savings Banks,IBERIABANK Corp.,4968
IBKCO,6.6,Finance,Savings Banks,IBERIABANK Corp.,6176
IBKCN,6.1,Finance,Savings Banks,IBERIABANK Corp.,15835
NYCB-PA,6.375,Finance,Savings Banks,"New York Community Bancorp, Inc.",43131
WBS-PF,5.25,Finance,Savings Banks,Webster Financial Corp.,12740
ATH-PA,6.35,Finance,Specialty Insurance,Athene Holding Ltd.,93280
ATH-PB,5.625,Finance,Specialty Insurance,Athene Holding Ltd.,65376
PRE-PH,7.25,Finance,Specialty Insurance,PartnerRe Ltd.,43023
PRE-PG,6.5,Finance,Specialty Insurance,PartnerRe Ltd.,12800
PRE-PF,5.875,Finance,Specialty Insurance,PartnerRe Ltd.,5162
PRE-PI,5.875,Finance,Specialty Insurance,PartnerRe Ltd.,17368
CDMOP,10.5,Health Technology,Biotechnology,"Avid Bioservices, Inc.",4544
CYCCP,6.0,Health Technology,Biotechnology,"Cyclacel Pharmaceuticals, Inc.",382
FBIOP,9.375,Health Technology,Biotechnology,"Fortress Biotech, Inc.",27499
DHR-PA,4.75,Health Technology,Medical Specialties,Danaher Corp.,12175
DRADP,10.0,Health Technology,Medical Specialties,Digirad Corp.,3281
NBR-PA,6.0,Industrial Services,Contract Drilling,Nabors Industries Ltd.,62941
DCP-PC,7.95,Industrial Services,Oil & Gas Pipelines,DCP Midstream LP,28161
DCP-PB,7.875,Industrial Services,Oil & Gas Pipelines,DCP Midstream LP,31955
ENBA,6.375,Industrial Services,Oil & Gas Pipelines,"Enbridge, Inc.",64104
ETP-PD,7.625,Industrial Services,Oil & Gas Pipelines,Energy Transfer Operating LP,97858
ETP-PE,7.6,Industrial Services,Oil & Gas Pipelines,Energy Transfer Operating LP,127660
ETP-PC,7.375,Industrial Services,Oil & Gas Pipelines,Energy Transfer Operating LP,118034
NGL-PC,9.625,Industrial Services,Oil & Gas Pipelines,NGL Energy Partners LP,22472
NGL-PB,9.0,Industrial Services,Oil & Gas Pipelines,NGL Energy Partners LP,56477
NSS,7.625,Industrial Services,Oil & Gas Pipelines,NuStar Logistics LP,80801
MINDP,9.0,Industrial Services,Oilfield Services/Equipment,"Mitcham Industries, Inc.",6228
NCV-PA,5.625,Miscellaneous,Investment Trusts/Mutual Funds,AllianzGI Convertible & Income Fund,10765
NCZ-PA,5.5,Miscellaneous,Investment Trusts/Mutual Funds,AllianzGI Convertible & Income Fund II,19004
BCV-PA,5.375,Miscellaneous,Investment Trusts/Mutual Funds,Bancroft Fund Ltd.,2875
ECCB,7.75,Miscellaneous,Investment Trusts/Mutual Funds,"Eagle Point Credit Co., Inc.",7380
ECCY,6.75,Miscellaneous,Investment Trusts/Mutual Funds,"Eagle Point Credit Co., Inc.",6578
ECCX,6.6875,Miscellaneous,Investment Trusts/Mutual Funds,"Eagle Point Credit Co., Inc.",5920
ECF-PA,5.25,Miscellaneous,Investment Trusts/Mutual Funds,Ellsworth Growth & Income Fund Ltd.,4117
GGN-PB,0.0,Miscellaneous,Investment Trusts/Mutual Funds,"GAMCO Global Gold, Natural Resources & Income Trust",6081
GAB-PJ,5.45,Miscellaneous,Investment Trusts/Mutual Funds,"Gabelli Equity Trust, Inc.",5567
GAB-PH,5.0,Miscellaneous,Investment Trusts/Mutual Funds,"Gabelli Equity Trust, Inc.",6321
GAB-PG,5.0,Miscellaneous,Investment Trusts/Mutual Funds,"Gabelli Equity Trust, Inc.",6858
GAB-PK,5.0,Miscellaneous,Investment Trusts/Mutual Funds,"Gabelli Equity Trust, Inc.",27870
GLU-PA,0.0,Miscellaneous,Investment Trusts/Mutual Funds,Gabelli Global Utility & Income Trust,888
GLU-PB,0.0,Miscellaneous,Investment Trusts/Mutual Funds,Gabelli Global Utility & Income Trust,1531
GGO-PA,0.0,Miscellaneous,Investment Trusts/Mutual Funds,Gabelli Go Anywhere Trust,1131
GUT-PA,5.625,Miscellaneous,Investment Trusts/Mutual Funds,Gabelli Utility Trust,4008
GUT-PC,5.375,Miscellaneous,Investment Trusts/Mutual Funds,Gabelli Utility Trust,3569
GNT-PA,5.2,Miscellaneous,Investment Trusts/Mutual Funds,"Gamco Natural Resources, Gold & Income Trust",3533
GAM-PB,5.95,Miscellaneous,Investment Trusts/Mutual Funds,"General American Investors Co., Inc.",10608
HCAPZ,6.125,Miscellaneous,Investment Trusts/Mutual Funds,Harvest Capital Credit Corp.,3713
HFRO-PA,5.375,Miscellaneous,Investment Trusts/Mutual Funds,Highland Income Fund,42496
HTFA,6.25,Miscellaneous,Investment Trusts/Mutual Funds,Horizon Technology Finance Corp.,3459
CMFNL,6.125,Miscellaneous,Investment Trusts/Mutual Funds,"Investcorp Credit Management BDC, Inc.",9827
MCX,6.5,Miscellaneous,Investment Trusts/Mutual Funds,Medley Capital Corp.,6856
MCV,6.125,Miscellaneous,Investment Trusts/Mutual Funds,Medley Capital Corp.,7296
OCCIP,6.875,Miscellaneous,Investment Trusts/Mutual Funds,"OFS Credit Co., Inc.",1961
OXLCO,7.5,Miscellaneous,Investment Trusts/Mutual Funds,Oxford Lane Capital Corp.,15689
OXLCM,6.75,Miscellaneous,Investment Trusts/Mutual Funds,Oxford Lane Capital Corp.,6894
OXLCP,6.25,Miscellaneous,Investment Trusts/Mutual Funds,Oxford Lane Capital Corp.,107660
PRIF-PD,7.0,Miscellaneous,Investment Trusts/Mutual Funds,"Priority Income Fund, Inc.",2086
PRIF-PC,6.625,Miscellaneous,Investment Trusts/Mutual Funds,"Priority Income Fund, Inc.",5564
PRIF-PF,6.625,Miscellaneous,Investment Trusts/Mutual Funds,"Priority Income Fund, Inc.",19384
PRIF-PA,6.375,Miscellaneous,Investment Trusts/Mutual Funds,"Priority Income Fund, Inc.",6183
PRIF-PE,6.375,Miscellaneous,Investment Trusts/Mutual Funds,"Priority Income Fund, Inc.",5353
PRIF-PB,6.25,Miscellaneous,Investment Trusts/Mutual Funds,"Priority Income Fund, Inc.",2325
RMPL-P,5.875,Miscellaneous,Investment Trusts/Mutual Funds,Rivernorth Marketplace Lending Corp.,3934
JBN,0.0,Miscellaneous,Investment Trusts/Mutual Funds,"Select Asset, Inc.",8266
JBR,0.0,Miscellaneous,Investment Trusts/Mutual Funds,"Select Asset, Inc.",2140
SPE-PB,3.5,Miscellaneous,Investment Trusts/Mutual Funds,"Special Opportunities Fund, Inc.",3386
GDL-PC,4.0,Miscellaneous,Investment Trusts/Mutual Funds,The GDL Fund,3629
GDV-PA,5.875,Miscellaneous,Investment Trusts/Mutual Funds,The Gabelli Dividend & Income Trust,6931
GDV-PH,5.375,Miscellaneous,Investment Trusts/Mutual Funds,The Gabelli Dividend & Income Trust,20146
GDV-PG,5.25,Miscellaneous,Investment Trusts/Mutual Funds,The Gabelli Dividend & Income Trust,6348
GGZ-PA,5.45,Miscellaneous,Investment Trusts/Mutual Funds,The Gabelli Global Small & Mid Cap Value Trust,3372
GRX-PB,5.875,Miscellaneous,Investment Trusts/Mutual Funds,The Gabelli Healthcare & WellnessRx Trust,2953
GGT-PE,5.125,Miscellaneous,Investment Trusts/Mutual Funds,"The Gabelli Multimedia Trust, Inc.",4096
GGT-PG,5.125,Miscellaneous,Investment Trusts/Mutual Funds,"The Gabelli Multimedia Trust, Inc.",19632
TY-P,0.0,Miscellaneous,Investment Trusts/Mutual Funds,Tri-Continental Corp.,1410
SFB,5.2,NoData,NoData,NoData,14297
TFC-PJ,0.0,NoData,NoData,NoData,0
AYTUP,0.0,NoData,NoData,NoData,0
HL-PB,0.0,Non-Energy Minerals,Precious Metals,Hecla Mining Co.,541
CHSCP,8.0,Process Industries,Agricultural Commodities/Milling,"CHS, Inc.",23007
CHSCO,7.875,Process Industries,Agricultural Commodities/Milling,"CHS, Inc.",35839
CHSCL,7.5,Process Industries,Agricultural Commodities/Milling,"CHS, Inc.",53216
CHSCN,7.1,Process Industries,Agricultural Commodities/Milling,"CHS, Inc.",27158
CHSCM,6.75,Process Industries,Agricultural Commodities/Milling,"CHS, Inc.",38302
ELAT,5.0,Process Industries,Agricultural Commodities/Milling,"Elanco Animal Health, Inc.",310486
AVTR-PA,6.25,Process Industries,Chemicals: Specialty,"Avantor, Inc.",83313
CTA-PA,0.0,Process Industries,Chemicals: Specialty,E.I. du Pont de Nemours & Co.,676
CTA-PB,0.0,Process Industries,Chemicals: Specialty,E.I. du Pont de Nemours & Co.,2041
NMK-PC,3.9,Producer Manufacturing,Electrical Products,Niagara Mohawk Power Corp.,140
NMK-PB,3.6,Producer Manufacturing,Electrical Products,Niagara Mohawk Power Corp.,178
SPLP-PA,6.0,Producer Manufacturing,Industrial Conglomerates,Steel Partners Holdings LP,21469
CFXA,5.75,Producer Manufacturing,Industrial Machinery,Colfax Corp.,54044
PBI-PB,6.7,Producer Manufacturing,Office Equipment/Supplies,"Pitney Bowes, Inc.",135564
NAV-PD,0.0,Producer Manufacturing,Trucks/Construction/Farm Machinery,Navistar International Corp.,1478
QVCD,6.375,Retail Trade,Internet Retail,"QVC, Inc.",29085
QVCC,6.25,Retail Trade,Internet Retail,"QVC, Inc.",216943
